reads	java_seconds	rust_seconds	speedup_x	wall_reduction_pct	java_rss_gib	rust_rss_gib	rss_reduction_pct	rust_input_counting_s	rust_normalize_s
1000	0.612401	0.152443	4.017246	75.107323	3.197262	2.783653	12.936337	0.116480	0.006557
5000	0.768892	0.203705	3.774537	73.506682	3.221966	2.784920	13.564578	0.149944	0.033258
10000	0.869783	0.304928	2.852421	64.942060	3.266232	2.787964	14.642797	0.196131	0.066547
50000	1.535416	0.812855	1.888917	47.059624	3.387638	2.790237	17.634725	0.497062	0.304515
100000	2.412272	1.471671	1.639138	38.992328	3.392693	2.790249	17.757097	0.890778	0.568379
250000	4.774348	3.736873	1.277632	21.730192	3.411152	2.790646	18.190521	2.085981	1.638332
500000	8.468103	6.613216	1.280482	21.904398	3.410027	2.790913	18.155692	3.738097	2.787000
